epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,26.9002,0.67838,1.12423,1.17182,0.83914,0.48937,0.52037,0.28699,1.70667,2.09154,1.41335,2.46073e-05,2.46073e-05,2.46073e-05
74,27.2532,0.94721,0.93959,1.41104,0.83914,0.48937,0.52037,0.28699,1.70667,2.09154,1.41335,2.40891e-05,2.40891e-05,2.40891e-05
75,27.6191,0.69349,0.73145,1.18074,0.84805,0.48893,0.51911,0.28433,1.72924,2.14922,1.41777,2.35472e-05,2.35472e-05,2.35472e-05
76,27.9583,0.87838,0.93312,1.33452,0.84805,0.48893,0.51911,0.28433,1.72924,2.14922,1.41777,2.29819e-05,2.29819e-05,2.29819e-05
77,28.3072,0.6878,0.70872,1.14032,0.84805,0.48893,0.51911,0.28433,1.72924,2.14922,1.41777,2.23929e-05,2.23929e-05,2.23929e-05
78,28.6692,0.83106,0.92445,1.27915,0.84385,0.48808,0.51351,0.25926,1.74364,2.15756,1.42136,2.17805e-05,2.17805e-05,2.17805e-05
79,29.0124,0.55497,0.6219,0.97183,0.84385,0.48808,0.51351,0.25926,1.74364,2.15756,1.42136,2.11444e-05,2.11444e-05,2.11444e-05
80,29.3617,0.80747,0.92039,1.21919,0.84385,0.48808,0.51351,0.25926,1.74364,2.15756,1.42136,2.04848e-05,2.04848e-05,2.04848e-05
81,29.7265,0.76847,0.87967,1.22873,0.84097,0.48699,0.51696,0.24494,1.75533,2.19803,1.43506,1.98016e-05,1.98016e-05,1.98016e-05
82,30.071,0.66851,0.75102,1.10969,0.84097,0.48699,0.51696,0.24494,1.75533,2.19803,1.43506,1.90949e-05,1.90949e-05,1.90949e-05
83,30.4184,0.83258,0.70018,1.23139,0.84097,0.48699,0.51696,0.24494,1.75533,2.19803,1.43506,1.83646e-05,1.83646e-05,1.83646e-05
84,30.7803,0.59632,0.78141,1.06134,0.83489,0.48676,0.51139,0.26273,1.76071,2.18465,1.43556,1.76107e-05,1.76107e-05,1.76107e-05
85,31.1197,0.47108,0.41488,0.92375,0.83489,0.48676,0.51139,0.26273,1.76071,2.18465,1.43556,1.68333e-05,1.68333e-05,1.68333e-05
86,31.4644,1.35376,1.01207,1.64502,0.83489,0.48676,0.51139,0.26273,1.76071,2.18465,1.43556,1.60323e-05,1.60323e-05,1.60323e-05
